Iteration: 1, Clashes: 0, Phase: Before Update
Iteration: 40, Clashes: 0, Phase: Before Update
Iteration: 40, Clashes: 0, Phase: After Update
Iteration: 40, Clashes: 0, Phase: After Update
Iteration: 41, Clashes: 0, Phase: Before Update
Iteration: 41, Clashes: 0, Phase: After Update
Iteration: 42, Clashes: 0, Phase: Before Update
Iteration: 42, Clashes: 0, Phase: After Update
Iteration: 43, Clashes: 0, Phase: Before Update
Iteration: 43, Clashes: 0, Phase: After Update
Iteration: 44, Clashes: 0, Phase: Before Update
Iteration: 44, Clashes: 0, Phase: After Update
Iteration: 45, Clashes: 0, Phase: Before Update
Iteration: 45, Clashes: 0, Phase: After Update
Iteration: 46, Clashes: 0, Phase: Before Update
Iteration: 46, Clashes: 0, Phase: After Update
Iteration: 47, Clashes: 0, Phase: Before Update
Iteration: 47, Clashes: 0, Phase: After Update
Iteration: 48, Clashes: 0, Phase: Before Update
Iteration: 48, Clashes: 0, Phase: After Update
Iteration: 49, Clashes: 0, Phase: Before Update
Iteration: 49, Clashes: 0, Phase: After Update
Iteration: 50, Clashes: 0, Phase: Before Update
Iteration: 50, Clashes: 0, Phase: After Update
Iteration: 50, Clashes: 0, Phase: After Update
Iteration: 51, Clashes: 0, Phase: Before Update
Iteration: 51, Clashes: 0, Phase: After Update
Iteration: 52, Clashes: 0, Phase: Before Update
Iteration: 52, Clashes: 0, Phase: After Update
Iteration: 53, Clashes: 0, Phase: Before Update
Iteration: 53, Clashes: 0, Phase: After Update
Iteration: 54, Clashes: 0, Phase: Before Update
Iteration: 54, Clashes: 0, Phase: After Update
Iteration: 55, Clashes: 0, Phase: Before Update
Iteration: 55, Clashes: 0, Phase: After Update
Iteration: 56, Clashes: 0, Phase: Before Update
Iteration: 56, Clashes: 0, Phase: After Update
Iteration: 57, Clashes: 0, Phase: Before Update
Iteration: 57, Clashes: 0, Phase: After Update
Iteration: 58, Clashes: 0, Phase: Before Update
Iteration: 58, Clashes: 0, Phase: After Update
Iteration: 59, Clashes: 0, Phase: Before Update
Iteration: 59, Clashes: 0, Phase: After Update
Iteration: 60, Clashes: 0, Phase: Before Update
Iteration: 60, Clashes: 0, Phase: After Update
Iteration: 60, Clashes: 0, Phase: After Update
Iteration: 61, Clashes: 0, Phase: Before Update
Iteration: 61, Clashes: 0, Phase: After Update
Iteration: 62, Clashes: 0, Phase: Before Update
Iteration: 62, Clashes: 0, Phase: After Update
Iteration: 63, Clashes: 0, Phase: Before Update
Iteration: 63, Clashes: 0, Phase: After Update
Iteration: 64, Clashes: 0, Phase: Before Update
Iteration: 64, Clashes: 0, Phase: After Update
Iteration: 65, Clashes: 0, Phase: Before Update
Iteration: 65, Clashes: 0, Phase: After Update
Iteration: 66, Clashes: 0, Phase: Before Update
Iteration: 66, Clashes: 0, Phase: After Update
Iteration: 67, Clashes: 0, Phase: Before Update
Iteration: 67, Clashes: 0, Phase: After Update
Iteration: 68, Clashes: 0, Phase: Before Update
Iteration: 68, Clashes: 0, Phase: After Update
Iteration: 69, Clashes: 0, Phase: Before Update
Iteration: 69, Clashes: 0, Phase: After Update
Iteration: 70, Clashes: 0, Phase: Before Update
Iteration: 70, Clashes: 0, Phase: After Update
Iteration: 70, Clashes: 0, Phase: After Update
Iteration: 71, Clashes: 0, Phase: Before Update
Iteration: 71, Clashes: 0, Phase: After Update
Iteration: 72, Clashes: 0, Phase: Before Update
Iteration: 72, Clashes: 0, Phase: After Update
Iteration: 73, Clashes: 0, Phase: Before Update
Iteration: 73, Clashes: 0, Phase: After Update
Iteration: 74, Clashes: 0, Phase: Before Update
Iteration: 74, Clashes: 0, Phase: After Update
Iteration: 75, Clashes: 0, Phase: Before Update
Iteration: 75, Clashes: 0, Phase: After Update
Iteration: 76, Clashes: 0, Phase: Before Update
Iteration: 76, Clashes: 0, Phase: After Update
Iteration: 77, Clashes: 0, Phase: Before Update
Iteration: 77, Clashes: 0, Phase: After Update
Iteration: 78, Clashes: 0, Phase: Before Update
Iteration: 78, Clashes: 0, Phase: After Update
Iteration: 79, Clashes: 0, Phase: Before Update
Iteration: 79, Clashes: 0, Phase: After Update
Iteration: 80, Clashes: 0, Phase: Before Update
Iteration: 80, Clashes: 0, Phase: After Update
Iteration: 80, Clashes: 0, Phase: After Update
Iteration: 81, Clashes: 0, Phase: Before Update
Iteration: 81, Clashes: 0, Phase: After Update
Iteration: 82, Clashes: 0, Phase: Before Update
Iteration: 82, Clashes: 0, Phase: After Update
Iteration: 83, Clashes: 0, Phase: Before Update
Iteration: 83, Clashes: 0, Phase: After Update
Iteration: 84, Clashes: 0, Phase: Before Update
Iteration: 84, Clashes: 0, Phase: After Update
Iteration: 85, Clashes: 0, Phase: Before Update
Iteration: 85, Clashes: 0, Phase: After Update
Iteration: 86, Clashes: 0, Phase: Before Update
Iteration: 86, Clashes: 0, Phase: After Update
Iteration: 87, Clashes: 0, Phase: Before Update
Iteration: 87, Clashes: 0, Phase: After Update
Iteration: 88, Clashes: 0, Phase: Before Update
Iteration: 88, Clashes: 0, Phase: After Update
Iteration: 89, Clashes: 0, Phase: Before Update
Iteration: 89, Clashes: 0, Phase: After Update
Iteration: 90, Clashes: 0, Phase: Before Update
Iteration: 90, Clashes: 0, Phase: After Update
Iteration: 90, Clashes: 0, Phase: After Update
Iteration: 91, Clashes: 0, Phase: Before Update
Iteration: 91, Clashes: 0, Phase: After Update
Iteration: 92, Clashes: 0, Phase: Before Update
Iteration: 92, Clashes: 0, Phase: After Update
Iteration: 93, Clashes: 0, Phase: Before Update
Iteration: 93, Clashes: 0, Phase: After Update
Iteration: 94, Clashes: 0, Phase: Before Update
Iteration: 94, Clashes: 0, Phase: After Update
Iteration: 95, Clashes: 0, Phase: Before Update
Iteration: 95, Clashes: 0, Phase: After Update
Iteration: 96, Clashes: 0, Phase: Before Update
Iteration: 96, Clashes: 0, Phase: After Update
Iteration: 97, Clashes: 0, Phase: Before Update
Iteration: 97, Clashes: 0, Phase: After Update
Iteration: 98, Clashes: 0, Phase: Before Update
Iteration: 98, Clashes: 0, Phase: After Update
Iteration: 99, Clashes: 0, Phase: Before Update
Iteration: 99, Clashes: 0, Phase: After Update
Iteration: 100, Clashes: 0, Phase: Before Update
Iteration: 100, Clashes: 0, Phase: After Update
Iteration: 100, Clashes: 0, Phase: After Update
